release_date,variable,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24
1_2025,24MS MAX PROB,348916.353,400443.905,376388.842,452658.122,1068492.32,2744222.35,3384657.2,1362808.57,723079.302,590366.888,531137.593,462043.296,484172.175,449124.228,460725.745,608134.906,984062.886,2612579.14,2861557.06,1162019.8,601408.951,548547.888,535146.593,505262.411
1_2025,24MS MIN PROB,348916.353,353498.008,328780.489,429988.135,431332.043,833714.023,1111944.19,563595.688,410521.231,359097.83,403242.188,410833.418,351967.927,338786.98,377899.489,503187.135,609864.043,1317646.02,1250811.19,423320.688,371882.231,354471.83,399635.188,402953.418
1_2025,24MS MOST PROB,348916.353,356218.008,347450.489,426530.135,600687.043,1355549.02,1745732.19,754768.688,418646.231,434003.83,452445.188,461513.418,447247.927,406623.98,440403.489,552626.135,781965.043,1844068.02,1888865.19,705024.688,491547.231,500683.83,470015.188,458383.418
2_2025,24MS MAX PROB,303050.143,376388.842,452658.122,1068492.32,2744222.35,3384657.2,1362808.57,723079.302,590366.888,531137.593,462043.296,484172.175,449124.228,460725.745,608134.906,984062.886,2612579.14,2861557.06,1162019.8,601408.951,548547.888,535146.593,505262.411,509488.175
2_2025,24MS MIN PROB,303050.143,348049.182,382130.156,394209.043,824539.023,1050104.19,509825.688,381419.231,364931.83,388564.188,405663.418,348347.927,338096.98,377299.489,507297.135,624834.043,1281736.02,1365361.19,400680.688,356512.231,351463.83,382725.188,404583.418,402497.927
2_2025,24MS MOST PROB,303050.143,348136.182,388530.156,515075.043,1231466.02,1484907.19,598175.688,366078.231,383203.83,418457.188,422473.418,394067.927,397393.98,433853.489,553246.135,785715.043,1807568.02,1909685.19,708494.688,509977.231,465133.83,472915.188,463763.418,453427.927
3_2025,24MS MAX PROB,329337.788,452658.122,1068492.32,2744222.35,3384657.2,1362808.57,723079.302,590366.888,531137.593,462043.296,484172.175,449124.228,460725.745,608134.906,984062.886,2612579.14,2861557.06,1162019.8,601408.951,548547.888,535146.593,505262.411,509488.175,
3_2025,24MS MIN PROB,329337.788,396134.621,400705.043,835121.023,1150140.19,509140.688,396715.231,362680.83,393822.188,410182.418,359767.927,344775.98,383409.489,514607.135,631734.043,1333130.02,1252011.19,414890.688,373364.231,369305.83,394215.188,408172.418,411467.927,400476.98
3_2025,24MS MOST PROB,329337.788,398963.621,506765.043,1289817.02,1397613.19,595770.688,385275.231,390035.83,423045.188,435472.418,414507.927,405086.98,438163.489,567246.135,796465.043,1821058.02,1896816.19,708047.688,511028.231,465055.83,471845.188,464492.418,455517.927,417376.98
4_2025,24MS MAX PROB,369662.351,782551.692,1831673.0,2239725.19,825570.688,558952.231,525964.83,558477.188,515341.418,514194.927,466153.98,481179.489,563900.135,923278.043,2551919.02,2683775.19,1162183.69,625602.231,566725.83,578429.188,566836.418,531222.927,457351.98,488054.489
4_2025,24MS MIN PROB,369662.351,330401.692,722451.005,1057788.19,529408.688,408550.231,368318.83,388784.188,415772.418,375857.927,364610.98,397511.489,505608.135,601237.043,1262716.02,1178904.19,386783.688,351646.231,349715.83,398397.188,408830.418,406913.927,395868.98,430843.489
4_2025,24MS MOST PROB,369662.351,412257.692,1085907.0,1320809.19,598480.688,467981.231,451233.83,462385.188,429121.418,395603.927,383566.98,429739.489,546455.135,780968.043,1808161.02,1909721.19,708349.688,514406.231,471410.83,478550.188,463708.418,460413.927,417381.98,451954.489
5_2025,24MS MAX PROB,506670.371,1831673.0,2239725.19,825570.688,558952.231,525964.83,558477.188,515341.418,514194.927,466153.98,481179.489,563900.135,923278.043,2551919.02,2683775.19,1162183.69,625602.231,566725.83,578429.188,566836.418,531222.927,457351.98,488054.489,594454.135
5_2025,24MS MIN PROB,506670.371,671648.327,794547.123,520152.188,438767.811,403166.29,392516.913,417460.34,354943.186,337878.14,371120.04,501010.293,601569.558,1349974.47,1261588.11,414382.049,373058.811,365680.927,389282.417,399290.88,386621.186,383370.978,410875.706,547796.141
5_2025,24MS MOST PROB,506670.371,897527.359,995500.723,596635.068,443151.811,411518.71,428538.958,437714.768,403533.187,396517.98,420834.709,549532.145,773385.573,1830818.29,1919824.46,708570.038,512255.731,470870.17,475844.418,468775.878,467897.187,416493.98,441976.709,546796.145
6_2025,24MS MAX PROB,697955.759,2239725.19,825570.688,558952.231,525964.83,558477.188,515341.418,514194.927,466153.98,481179.489,563900.135,923278.043,2551919.02,2683775.19,1162183.69,625602.231,566725.83,578429.188,566836.418,531222.927,457351.98,488054.489,594454.135,821468.043
6_2025,24MS MIN PROB,697955.759,895942.295,499754.054,397679.08,322305.982,281248.402,228731.859,198057.673,171428.182,190161.65,242947.049,325359.697,798449.532,1018003.48,488584.125,319806.909,313052.992,348855.951,361884.211,351563.847,331424.801,365181.056,489626.956,590540.006
6_2025,24MS MOST PROB,697955.759,896499.583,499413.412,408097.836,382586.024,425956.669,366813.57,319598.849,268695.641,309921.725,405610.806,532222.019,1656003.21,1875857.71,747611.939,438982.74,462783.013,472082.079,448685.324,411217.849,398054.641,426254.725,542436.806,767853.019
7_2025,24MS MAX PROB,883272.028,825570.688,558952.231,525964.83,558477.188,515341.418,514194.927,466153.98,481179.489,563900.135,923278.043,2551919.02,2683775.19,1162183.69,625602.231,566725.83,578429.188,566836.418,531222.927,457351.98,488054.489,594454.135,821468.043,1821061.02
7_2025,24MS MIN PROB,883272.028,397225.757,395047.231,377767.83,292552.188,233579.418,198750.927,177016.98,189449.489,242169.135,325804.043,794944.023,987561.193,486540.688,315924.231,313296.83,354236.188,358582.418,348488.927,331424.98,365180.489,489627.135,590440.043,1254269.02
7_2025,24MS MOST PROB,883272.028,396665.757,396037.231,377024.83,418176.188,365918.418,304434.927,254231.98,288449.489,374723.135,507927.043,1609447.02,1835647.19,754313.688,421901.231,436735.83,471383.188,455343.418,403533.927,381147.98,410976.489,535413.135,762352.043,1875241.02
8_2025,24MS MAX PROB,288640.6,370359.963,401268.83,401236.188,627810.418,538326.927,453461.98,529936.489,779818.135,997120.043,3086656.02,3812088.19,1285113.69,670288.231,740808.83,740829.188,579775.418,570151.927,516108.98,514003.489,577847.135,938058.043,2478748.02,2770630.19
8_2025,24MS MIN PROB,288640.6,370309.963,401565.83,401831.188,226579.418,191642.927,174313.98,184449.489,248307.135,331074.043,706150.023,972603.193,477413.688,298160.231,292999.83,341510.188,355908.418,348488.927,331424.98,365180.489,498354.135,604920.043,1284619.02,1244725.19
8_2025,24MS MOST PROB,288640.6,370259.93,401269.14,400045.538,354780.512,293163.369,253231.641,288781.314,390024.81,513569.631,1463996.51,1797910.26,718956.353,396693.001,419130.473,454406.623,433646.232,397383.847,384219.639,413758.722,535962.804,779015.026,1830620.95,1919820.91
9_2025,24MS MAX PROB,267828.416,401268.83,401236.188,627810.418,538326.927,453461.98,529936.489,779818.135,997120.043,3086656.02,3812088.19,1285113.69,670288.231,740808.83,740829.188,579775.418,570151.927,516108.98,514003.489,577847.135,938058.043,2478748.02,2770630.19,1193901.69
9_2025,24MS MIN PROB,267828.416,375918.805,392645.195,337302.418,193296.927,168946.98,179449.489,243319.135,321418.043,680438.023,923629.193,464966.688,291505.231,271870.83,320899.188,347784.418,351563.927,331424.98,365180.489,498354.135,604920.043,1284619.02,1244725.19,399897.688
